ts,session,recovered,t_to_recovery_hr,next_auto_verb,t_to_next_op_hr
2026-02-16 13:49:05+00:00,97,True,0.0988888888888888,ANALYZE,22.61611111111111
2026-02-16 13:49:11+00:00,96,True,0.0972222222222222,ANALYZE,22.614444444444445
2026-02-16 18:08:51+00:00,131,True,0.0161111111111111,ANALYZE,18.286666666666665
2026-02-16 18:08:55+00:00,130,True,0.015,ANALYZE,18.28555555555555
2026-02-16 18:53:32+00:00,139,True,0.13,ANALYZE,17.541944444444443
2026-02-16 18:53:45+00:00,138,True,0.1263888888888888,ANALYZE,17.538333333333334
2026-02-16 21:12:46+00:00,159,True,0.0938888888888888,RUN,15.221388888888889
2026-02-16 21:12:56+00:00,158,True,0.0911111111111111,RUN,15.21861111111111
2026-02-17 00:00:01+00:00,188,True,0.0844444444444444,CRITIQUE,12.43388888888889
2026-02-17 02:37:23+00:00,219,True,0.0838888888888888,RUN,9.811111111111112
2026-02-17 03:17:43+00:00,227,True,0.0841666666666666,RUN,9.13888888888889
2026-02-17 05:33:52+00:00,254,True,0.0841666666666666,SURVEY,6.869722222222222
2026-02-17 08:45:35+00:00,292,True,0.0838888888888888,CRITIQUE,3.6744444444444446
2026-02-17 09:30:57+00:00,301,True,0.0841666666666666,SURVEY,2.9183333333333334
2026-02-17 15:14:34+00:00,1677,True,0.1294444444444444,SYNTHESIZE,0.3516666666666667
2026-02-17 15:15:11+00:00,1676,True,0.1191666666666666,SYNTHESIZE,0.3413888888888889
2026-02-17 18:13:18+00:00,1689,True,0.1238888888888889,CRITIQUE,11.484444444444444
2026-02-17 18:13:22+00:00,1688,True,0.1227777777777777,CRITIQUE,11.483333333333333
2026-02-17 22:23:08+00:00,1716,True,0.1383333333333333,RUN,7.320555555555556
2026-02-18 08:22:29+00:00,1772,True,0.1547222222222222,ANALYZE,2.493611111111111
2026-02-18 08:23:01+00:00,1771,True,0.1458333333333333,ANALYZE,2.484722222222222
2026-02-18 11:45:33+00:00,1792,True,0.5222222222222223,RUN,28.50027777777778
2026-02-18 11:45:43+00:00,1791,True,0.5194444444444445,RUN,28.4975
2026-02-18 12:03:28+00:00,1793,True,0.2236111111111111,RUN,28.201666666666668
2026-02-18 12:03:34+00:00,1792,True,0.2219444444444444,RUN,28.2
2026-02-18 15:00:01+00:00,1809,True,0.1488888888888888,HYPOTHESIZE,25.259166666666665
2026-02-18 15:00:16+00:00,1808,True,0.1447222222222222,HYPOTHESIZE,25.255
2026-02-18 22:42:17+00:00,1863,True,0.1244444444444444,SYNTHESIZE,17.55472222222222
2026-02-18 22:42:24+00:00,1862,True,0.1225,SYNTHESIZE,17.552777777777777
2026-02-19 03:40:07+00:00,1900,True,0.0963888888888888,BUILD,12.590833333333334
2026-02-19 03:40:13+00:00,1899,True,0.0947222222222222,BUILD,12.589166666666667
2026-02-19 14:58:38+00:00,1999,True,0.2152777777777778,RUN,1.2822222222222222
2026-02-19 14:58:45+00:00,1998,True,0.2133333333333333,RUN,1.2802777777777778
2026-02-19 15:25:18+00:00,2002,True,0.1547222222222222,ANALYZE,0.8377777777777777
2026-02-19 15:25:38+00:00,2001,True,0.1491666666666666,ANALYZE,0.8322222222222222
2026-02-19 15:45:29+00:00,2004,False,,,0.5013888888888889
2026-02-19 15:45:38+00:00,2003,False,,,0.4988888888888889
2026-02-19 19:33:49+00:00,2027,True,0.2847222222222222,HYPOTHESIZE,0.8936111111111111
2026-02-19 19:34:02+00:00,2026,True,0.2811111111111111,HYPOTHESIZE,0.89
2026-02-19 19:42:48+00:00,2028,True,0.135,HYPOTHESIZE,0.7438888888888889
2026-02-19 19:42:58+00:00,2027,True,0.1322222222222222,HYPOTHESIZE,0.7411111111111112
2026-02-19 20:22:26+00:00,2033,False,,,0.0833333333333333
2026-02-19 21:56:51+00:00,2040,True,0.2675,RUN,3.363611111111111
2026-02-19 21:57:04+00:00,2039,True,0.2638888888888889,RUN,3.36
2026-02-19 23:17:27+00:00,2048,True,0.2325,RUN,2.020277777777778
2026-02-19 23:17:34+00:00,2047,True,0.2305555555555555,RUN,2.0183333333333335
2026-02-19 23:40:25+00:00,2050,True,0.1166666666666666,BRIEF,1.6375
2026-02-19 23:40:32+00:00,2049,True,0.1147222222222222,BRIEF,1.6355555555555557
2026-02-20 00:57:02+00:00,2061,True,0.1388888888888889,ANALYZE,0.3605555555555556
2026-02-20 00:57:15+00:00,2060,True,0.1352777777777777,ANALYZE,0.3569444444444444
2026-02-20 05:11:26+00:00,2093,False,,,0.3058333333333333
2026-02-20 14:37:24+00:00,2144,True,0.2308333333333333,RUN,21.392222222222223
2026-02-20 14:37:34+00:00,2143,True,0.2280555555555555,RUN,21.389444444444443
2026-02-20 15:12:27+00:00,2148,True,0.0988888888888888,RUN,20.808055555555555
2026-02-20 15:12:34+00:00,2147,True,0.0969444444444444,RUN,20.80611111111111
2026-02-20 17:04:02+00:00,2163,True,0.1122222222222222,SYNTHESIZE,18.948333333333338
2026-02-20 17:04:20+00:00,2162,True,0.1072222222222222,SYNTHESIZE,18.94333333333333
2026-02-20 17:48:18+00:00,2171,True,0.1091666666666666,BRIEF,18.210555555555555
2026-02-20 19:53:51+00:00,2193,True,0.0447222222222222,SURVEY,16.118055555555557
2026-02-20 20:04:32+00:00,2195,True,0.0263888888888888,CRITIQUE,15.94
2026-02-20 20:04:44+00:00,2194,True,0.0230555555555555,CRITIQUE,15.936666666666667
2026-02-21 01:00:14+00:00,2243,True,0.1175,RUN,11.011666666666668
2026-02-21 01:00:24+00:00,2242,True,0.1147222222222222,RUN,11.008888888888889
2026-02-21 08:25:38+00:00,2320,True,0.0952777777777777,RUN,3.588333333333334
2026-02-21 08:25:49+00:00,2319,True,0.0922222222222222,RUN,3.585277777777778
2026-02-21 12:23:19+00:00,2361,True,0.0177777777777777,SCOUT,0.6316666666666667
2026-02-21 12:33:09+00:00,2363,True,0.125,ANALYZE,0.4677777777777778
2026-02-21 12:33:22+00:00,2362,True,0.1213888888888889,ANALYZE,0.4641666666666666
2026-02-21 14:14:33+00:00,2379,True,0.0988888888888888,RUN,2.0680555555555555
2026-02-21 14:14:44+00:00,2378,True,0.0958333333333333,RUN,2.065
2026-02-21 15:14:05+00:00,2390,True,0.0975,RUN,1.0758333333333334
2026-02-21 15:14:35+00:00,2389,True,0.0891666666666666,RUN,1.0675
2026-02-21 16:33:04+00:00,2403,False,,,0.0913888888888889
2026-02-21 16:33:10+00:00,2402,False,,,0.0897222222222222
2026-02-21 20:08:11+00:00,2451,True,0.0955555555555555,SYNTHESIZE,4.019444444444445
2026-02-21 21:27:44+00:00,2470,True,0.0697222222222222,DESIGN,2.693611111111111
2026-02-21 21:33:14+00:00,2472,True,0.0941666666666666,RUN,2.6019444444444444
2026-02-22 00:08:46+00:00,2509,False,,,0.0097222222222222
2026-02-22 00:40:24+00:00,2516,True,0.0538888888888888,ANALYZE,14.321944444444444
2026-02-22 04:55:46+00:00,2574,True,0.0861111111111111,RUN,10.065833333333334
2026-02-22 05:06:04+00:00,2577,True,0.0858333333333333,RUN,9.894166666666669
2026-02-22 05:58:56+00:00,2589,True,0.0088888888888888,SCOUT,9.013055555555557
2026-02-22 08:22:34+00:00,2623,True,0.1211111111111111,SCOUT,6.619166666666667
2026-02-22 16:10:16+00:00,2732,True,0.0875,ANALYZE,19.828611111111112
2026-02-22 16:21:05+00:00,2734,True,0.0927777777777777,SYNTHESIZE,19.648333333333333
2026-02-22 16:47:40+00:00,2739,True,0.0180555555555555,HYPOTHESIZE,19.205277777777777
2026-02-25 02:15:42+00:00,3114,True,0.12,SURVEY,39.8225
2026-02-25 02:15:45+00:00,3113,True,0.1191666666666666,SURVEY,39.821666666666665
2026-02-25 16:15:19+00:00,3198,True,0.1702777777777777,RUN,25.82888888888889
2026-02-25 16:15:28+00:00,3197,True,0.1677777777777777,RUN,25.82638888888889
2026-02-25 17:48:30+00:00,3208,True,0.2141666666666666,RUN,24.275833333333335
2026-02-25 17:48:37+00:00,3207,True,0.2122222222222222,RUN,24.273888888888887
2026-02-25 17:55:19+00:00,3209,True,0.1005555555555555,RUN,24.162222222222223
2026-02-25 17:55:24+00:00,3208,True,0.0991666666666666,RUN,24.160833333333333
2026-02-25 20:37:22+00:00,3226,True,0.315,BUILD,21.461388888888887
2026-02-25 20:37:31+00:00,3225,True,0.3125,BUILD,21.45888888888889
2026-02-25 20:46:09+00:00,3227,True,0.1686111111111111,BUILD,21.315
2026-02-25 20:46:15+00:00,3226,True,0.1669444444444444,BUILD,21.313333333333333
2026-02-25 21:12:56+00:00,3230,True,0.1452777777777777,BUILD,20.86861111111111
2026-02-25 21:13:03+00:00,3229,True,0.1433333333333333,BUILD,20.866666666666667
2026-02-26 00:21:26+00:00,3253,True,0.1047222222222222,RUN,17.726944444444445
2026-02-26 00:21:35+00:00,3252,True,0.1022222222222222,RUN,17.724444444444444
2026-02-26 04:17:11+00:00,3282,True,0.1055555555555555,RUN,13.797777777777778
2026-02-26 04:17:20+00:00,3281,True,0.1030555555555555,RUN,13.79527777777778
2026-02-26 07:56:55+00:00,3307,True,0.1738888888888889,ANALYZE,10.135555555555555
2026-02-26 07:57:21+00:00,3306,True,0.1666666666666666,ANALYZE,10.128333333333334
2026-02-26 12:18:05+00:00,3337,True,0.1533333333333333,DESIGN,5.782777777777778
2026-02-26 12:18:20+00:00,3336,True,0.1491666666666666,DESIGN,5.778611111111111
2026-02-26 17:35:51+00:00,3376,True,0.1244444444444444,HYPOTHESIZE,0.4866666666666667
2026-02-26 17:36:05+00:00,3375,True,0.1205555555555555,HYPOTHESIZE,0.4827777777777777
2026-02-26 18:17:17+00:00,3381,True,0.0963888888888888,RUN,39.415277777777774
2026-02-26 18:17:22+00:00,3380,True,0.095,RUN,39.41388888888889
2026-02-26 19:31:44+00:00,3392,True,0.0975,RUN,38.17444444444445
2026-02-26 19:31:49+00:00,3391,True,0.0961111111111111,RUN,38.17305555555556
2026-02-26 20:21:27+00:00,3399,True,0.1383333333333333,SURVEY,37.34583333333333
2026-02-27 00:52:36+00:00,3436,True,0.1213888888888889,CRITIQUE,32.82666666666667
2026-02-27 00:52:42+00:00,3435,True,0.1197222222222222,CRITIQUE,32.825
2026-02-27 01:49:34+00:00,3443,True,0.2002777777777777,SURVEY,31.877222222222223
2026-02-27 01:49:41+00:00,3442,True,0.1983333333333333,SURVEY,31.87527777777778
2026-02-27 02:25:09+00:00,3445,True,0.1480555555555555,HYPOTHESIZE,31.284166666666668
2026-02-27 02:25:26+00:00,3444,True,0.1433333333333333,HYPOTHESIZE,31.279444444444444
2026-02-27 06:16:01+00:00,3473,True,0.1441666666666666,ANALYZE,27.43638888888889
2026-02-27 06:16:15+00:00,3472,True,0.1402777777777777,ANALYZE,27.4325
2026-02-27 14:04:59+00:00,3531,True,0.3952777777777778,HYPOTHESIZE,19.620277777777776
2026-02-27 14:05:12+00:00,3530,True,0.3916666666666666,HYPOTHESIZE,19.616666666666667
2026-02-27 14:17:17+00:00,3532,True,0.1902777777777777,HYPOTHESIZE,19.415277777777774
2026-02-27 14:17:25+00:00,3531,True,0.1880555555555555,HYPOTHESIZE,19.413055555555555
2026-02-27 16:29:27+00:00,3547,True,0.1077777777777777,ANALYZE,17.2125
2026-02-27 16:29:35+00:00,3546,True,0.1055555555555555,ANALYZE,17.210277777777776
2026-02-27 18:04:14+00:00,3558,True,0.1063888888888889,RUN,15.632777777777775
2026-02-27 18:04:29+00:00,3557,True,0.1022222222222222,RUN,15.62861111111111
2026-02-28 03:41:32+00:00,3624,True,0.1388888888888889,BUILD,6.011111111111111
2026-02-28 03:42:16+00:00,3623,True,0.1266666666666666,BUILD,5.998888888888889
2026-02-28 09:56:52+00:00,3659,True,0.3066666666666666,RUN,15.574722222222222
2026-02-28 09:57:29+00:00,3658,True,0.2963888888888888,RUN,15.564444444444444
2026-03-01 01:55:09+00:00,3752,True,1.0988888888888888,ANALYZE,23.65972222222222
2026-03-01 01:55:27+00:00,3751,True,1.093888888888889,ANALYZE,23.654722222222222
2026-03-01 02:02:39+00:00,3753,True,0.9738888888888888,ANALYZE,23.53472222222222
2026-03-01 02:02:46+00:00,3752,True,0.9719444444444444,ANALYZE,23.532777777777778
2026-03-01 02:09:26+00:00,3754,True,0.8608333333333333,ANALYZE,23.421666666666667
2026-03-01 02:16:52+00:00,3755,True,0.7369444444444444,ANALYZE,23.297777777777775
2026-03-01 02:16:58+00:00,3754,True,0.7352777777777778,ANALYZE,23.29611111111111
2026-03-01 02:24:15+00:00,3756,True,0.6138888888888889,ANALYZE,23.174722222222226
2026-03-01 02:24:24+00:00,3755,True,0.6113888888888889,ANALYZE,23.17222222222222
2026-03-01 02:31:28+00:00,3757,True,0.4936111111111111,ANALYZE,23.05444444444445
2026-03-01 02:31:35+00:00,3756,True,0.4916666666666666,ANALYZE,23.0525
2026-03-01 02:38:59+00:00,3758,True,0.3683333333333333,ANALYZE,22.929166666666667
2026-03-01 02:39:07+00:00,3757,True,0.3661111111111111,ANALYZE,22.926944444444445
2026-03-01 02:46:18+00:00,3759,True,0.2463888888888888,ANALYZE,22.807222222222222
2026-03-01 02:46:24+00:00,3758,True,0.2447222222222222,ANALYZE,22.805555555555557
2026-03-01 02:54:44+00:00,3760,True,0.1058333333333333,ANALYZE,22.666666666666668
2026-03-01 02:54:49+00:00,3759,True,0.1044444444444444,ANALYZE,22.665277777777774
2026-03-01 04:58:25+00:00,3772,True,0.1244444444444444,CRITIQUE,20.60527777777778
2026-03-01 08:41:50+00:00,3796,True,0.2336111111111111,DESIGN,16.881666666666668
2026-03-01 08:41:58+00:00,3795,True,0.2313888888888889,DESIGN,16.879444444444445
2026-03-01 11:07:36+00:00,3812,True,0.2511111111111111,CRITIQUE,14.452222222222222
2026-03-01 11:07:40+00:00,3811,True,0.25,CRITIQUE,14.45111111111111
2026-03-01 11:14:35+00:00,3813,True,0.1347222222222222,CRITIQUE,14.335833333333332
2026-03-01 11:14:43+00:00,3812,True,0.1325,CRITIQUE,14.33361111111111
2026-03-01 12:13:41+00:00,3820,True,0.1563888888888888,ANALYZE,13.350833333333334
